group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedulers,async,256-24,37748736,bytes,92854048.0,ns,26
schedulers,async,256-24,37748736,bytes,184788741.0,ns,52
schedulers,async,256-24,37748736,bytes,278136948.0,ns,78
schedulers,async,256-24,37748736,bytes,371993830.0,ns,104
schedulers,async,256-24,37748736,bytes,468539151.0,ns,130
schedulers,async,256-24,37748736,bytes,559345997.0,ns,156
schedulers,async,256-24,37748736,bytes,657316718.0,ns,182
schedulers,async,256-24,37748736,bytes,746935305.0,ns,208
schedulers,async,256-24,37748736,bytes,843069149.0,ns,234
schedulers,async,256-24,37748736,bytes,935058562.0,ns,260
