group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedulers,parallel_speculative_par_iter,1024-12,301989888,bytes,161502175.0,ns,2
schedulers,parallel_speculative_par_iter,1024-12,301989888,bytes,304415293.0,ns,4
schedulers,parallel_speculative_par_iter,1024-12,301989888,bytes,454707778.0,ns,6
schedulers,parallel_speculative_par_iter,1024-12,301989888,bytes,582978235.0,ns,8
schedulers,parallel_speculative_par_iter,1024-12,301989888,bytes,700016052.0,ns,10
schedulers,parallel_speculative_par_iter,1024-12,301989888,bytes,876672221.0,ns,12
schedulers,parallel_speculative_par_iter,1024-12,301989888,bytes,1028557666.0,ns,14
schedulers,parallel_speculative_par_iter,1024-12,301989888,bytes,1208561851.0,ns,16
schedulers,parallel_speculative_par_iter,1024-12,301989888,bytes,1314065120.0,ns,18
schedulers,parallel_speculative_par_iter,1024-12,301989888,bytes,1506337254.0,ns,20
