group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedulers,async,64-360,35389440,bytes,91059952.0,ns,50
schedulers,async,64-360,35389440,bytes,182878855.0,ns,100
schedulers,async,64-360,35389440,bytes,274005306.0,ns,150
schedulers,async,64-360,35389440,bytes,365849161.0,ns,200
schedulers,async,64-360,35389440,bytes,457493304.0,ns,250
schedulers,async,64-360,35389440,bytes,547494133.0,ns,300
schedulers,async,64-360,35389440,bytes,643091589.0,ns,350
schedulers,async,64-360,35389440,bytes,733624113.0,ns,400
schedulers,async,64-360,35389440,bytes,826504994.0,ns,450
schedulers,async,64-360,35389440,bytes,914320475.0,ns,500
