group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedulers,parallel_speculative_par_iter,32-96,2359296,bytes,150912192.0,ns,1
schedulers,parallel_speculative_par_iter,32-96,2359296,bytes,300473698.0,ns,2
schedulers,parallel_speculative_par_iter,32-96,2359296,bytes,434988025.0,ns,3
schedulers,parallel_speculative_par_iter,32-96,2359296,bytes,562939803.0,ns,4
schedulers,parallel_speculative_par_iter,32-96,2359296,bytes,733028081.0,ns,5
schedulers,parallel_speculative_par_iter,32-96,2359296,bytes,857594525.0,ns,6
schedulers,parallel_speculative_par_iter,32-96,2359296,bytes,992947445.0,ns,7
schedulers,parallel_speculative_par_iter,32-96,2359296,bytes,1138311887.0,ns,8
schedulers,parallel_speculative_par_iter,32-96,2359296,bytes,1278861754.0,ns,9
schedulers,parallel_speculative_par_iter,32-96,2359296,bytes,1423788164.0,ns,10
