group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedulers,parallel_speculative_iter,32-12,294912,bytes,85352098.0,ns,18
schedulers,parallel_speculative_iter,32-12,294912,bytes,171673188.0,ns,36
schedulers,parallel_speculative_iter,32-12,294912,bytes,265036281.0,ns,54
schedulers,parallel_speculative_iter,32-12,294912,bytes,342669762.0,ns,72
schedulers,parallel_speculative_iter,32-12,294912,bytes,441937451.0,ns,90
schedulers,parallel_speculative_iter,32-12,294912,bytes,542006793.0,ns,108
schedulers,parallel_speculative_iter,32-12,294912,bytes,626833439.0,ns,126
schedulers,parallel_speculative_iter,32-12,294912,bytes,715226001.0,ns,144
schedulers,parallel_speculative_iter,32-12,294912,bytes,780049594.0,ns,162
schedulers,parallel_speculative_iter,32-12,294912,bytes,809857599.0,ns,180
