group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedulers,async,64-96,9437184,bytes,90460319.0,ns,146
schedulers,async,64-96,9437184,bytes,189301982.0,ns,292
schedulers,async,64-96,9437184,bytes,273666570.0,ns,438
schedulers,async,64-96,9437184,bytes,366393390.0,ns,584
schedulers,async,64-96,9437184,bytes,457783032.0,ns,730
schedulers,async,64-96,9437184,bytes,561037983.0,ns,876
schedulers,async,64-96,9437184,bytes,653850198.0,ns,1022
schedulers,async,64-96,9437184,bytes,741319734.0,ns,1168
schedulers,async,64-96,9437184,bytes,820810329.0,ns,1314
schedulers,async,64-96,9437184,bytes,916817622.0,ns,1460
