group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedulers,parallel_speculative_par_iter,64-2400,235929600,bytes,836384565.0,ns,1
schedulers,parallel_speculative_par_iter,64-2400,235929600,bytes,835425264.0,ns,1
schedulers,parallel_speculative_par_iter,64-2400,235929600,bytes,817741599.0,ns,1
schedulers,parallel_speculative_par_iter,64-2400,235929600,bytes,819608806.0,ns,1
schedulers,parallel_speculative_par_iter,64-2400,235929600,bytes,845272201.0,ns,1
schedulers,parallel_speculative_par_iter,64-2400,235929600,bytes,841876976.0,ns,1
schedulers,parallel_speculative_par_iter,64-2400,235929600,bytes,831051883.0,ns,1
schedulers,parallel_speculative_par_iter,64-2400,235929600,bytes,834273062.0,ns,1
schedulers,parallel_speculative_par_iter,64-2400,235929600,bytes,822812505.0,ns,1
schedulers,parallel_speculative_par_iter,64-2400,235929600,bytes,839668609.0,ns,1
