group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedulers,parallel_speculative_iter,256-2400,3774873600,bytes,14992016102.0,ns,1
schedulers,parallel_speculative_iter,256-2400,3774873600,bytes,15011218214.0,ns,1
schedulers,parallel_speculative_iter,256-2400,3774873600,bytes,14483700280.0,ns,1
schedulers,parallel_speculative_iter,256-2400,3774873600,bytes,14954156813.0,ns,1
schedulers,parallel_speculative_iter,256-2400,3774873600,bytes,15164427877.0,ns,1
schedulers,parallel_speculative_iter,256-2400,3774873600,bytes,14792294823.0,ns,1
schedulers,parallel_speculative_iter,256-2400,3774873600,bytes,14971133605.0,ns,1
schedulers,parallel_speculative_iter,256-2400,3774873600,bytes,15055770994.0,ns,1
schedulers,parallel_speculative_iter,256-2400,3774873600,bytes,14812000828.0,ns,1
schedulers,parallel_speculative_iter,256-2400,3774873600,bytes,14963541573.0,ns,1
