group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedulers,parallel_speculative_iter,256-1200,1887436800,bytes,7371164484.0,ns,1
schedulers,parallel_speculative_iter,256-1200,1887436800,bytes,6426937421.0,ns,1
schedulers,parallel_speculative_iter,256-1200,1887436800,bytes,7391635631.0,ns,1
schedulers,parallel_speculative_iter,256-1200,1887436800,bytes,7319234896.0,ns,1
schedulers,parallel_speculative_iter,256-1200,1887436800,bytes,7164270908.0,ns,1
schedulers,parallel_speculative_iter,256-1200,1887436800,bytes,7435951945.0,ns,1
schedulers,parallel_speculative_iter,256-1200,1887436800,bytes,6363369193.0,ns,1
schedulers,parallel_speculative_iter,256-1200,1887436800,bytes,7468969100.0,ns,1
schedulers,parallel_speculative_iter,256-1200,1887436800,bytes,7420175776.0,ns,1
schedulers,parallel_speculative_iter,256-1200,1887436800,bytes,7407081104.0,ns,1
